title,author,pg_code,author_id,book_id
The Return of Sherlock Holmes,"Doyle, Arthur Conan",108,5036,0
The Poison Belt,"Doyle, Arthur Conan",126,5036,1
Orthodoxy,"Chesterton, G. K. (Gilbert Keith)",130,3258,0
The Lost World,"Doyle, Arthur Conan",139,5036,2
The innocence of Father Brown,"Chesterton, G. K. (Gilbert Keith)",204,3258,1
The Return of Sherlock Holmes,"Doyle, Arthur Conan",221,5036,3
The wisdom of Father Brown,"Chesterton, G. K. (Gilbert Keith)",223,3258,2
A Study in Scarlet,"Doyle, Arthur Conan",244,5036,4
"The Stark Munro Letters: Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884","Doyle, Arthur Conan",290,5036,5
"The Captain of the Polestar, and Other Tales","Doyle, Arthur Conan",294,5036,6
The Parasite: A Story,"Doyle, Arthur Conan",355,5036,7
Beyond the City,"Doyle, Arthur Conan",356,5036,8
Round the Red Lamp: Being Facts and Fancies of Medical Life,"Doyle, Arthur Conan",423,5036,9
The Vital Message,"Doyle, Arthur Conan",439,5036,10
Heretics,"Chesterton, G. K. (Gilbert Keith)",470,3258,3
Tales of Terror and Mystery,"Doyle, Arthur Conan",537,5036,11
The Memoirs of Sherlock Holmes,"Doyle, Arthur Conan",834,5036,12
The Mysterious Affair at Styles,"Christie, Agatha",863,3304,0
The White Company,"Doyle, Arthur Conan",903,5036,13
The Secret Adversary,"Christie, Agatha",1155,3304,1
The Crystal Stopper,"Leblanc, Maurice",1563,10294,0
The New Revelation,"Doyle, Arthur Conan",1638,5036,14
The Adventures of Gerard,"Doyle, Arthur Conan",1644,5036,15
The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",1661,5036,16
The Man Who Was Thursday: A Nightmare,"Chesterton, G. K. (Gilbert Keith)",1695,3258,4
The Club of Queer Trades,"Chesterton, G. K. (Gilbert Keith)",1696,3258,5
What's Wrong with the World,"Chesterton, G. K. (Gilbert Keith)",1717,3258,6
Manalive,"Chesterton, G. K. (Gilbert Keith)",1718,3258,7
The Ballad of the White Horse,"Chesterton, G. K. (Gilbert Keith)",1719,3258,8
The Man Who Knew Too Much,"Chesterton, G. K. (Gilbert Keith)",1720,3258,9
The Trees of Pride,"Chesterton, G. K. (Gilbert Keith)",1721,3258,10
A Miscellany of Men,"Chesterton, G. K. (Gilbert Keith)",2015,3258,11
The Sign of the Four,"Doyle, Arthur Conan",2097,5036,17
Utopia of Usurers and Other Essays,"Chesterton, G. K. (Gilbert Keith)",2134,3258,12
The Adventure of Wisteria Lodge,"Doyle, Arthur Conan",2343,5036,18
The Adventure of the Cardboard Box,"Doyle, Arthur Conan",2344,5036,19
The Adventure of the Red Circle,"Doyle, Arthur Conan",2345,5036,20
The Adventure of the Bruce-Partington Plans,"Doyle, Arthur Conan",2346,5036,21
The Adventure of the Dying Detective,"Doyle, Arthur Conan",2347,5036,22
The Disappearance of Lady Frances Carfax,"Doyle, Arthur Conan",2348,5036,23
The Adventure of the Devil's Foot,"Doyle, Arthur Conan",2349,5036,24
His Last Bow: An Epilogue of Sherlock Holmes,"Doyle, Arthur Conan",2350,5036,25
Sir Nigel,"Doyle, Arthur Conan",2845,5036,26
The Hound of the Baskervilles,"Doyle, Arthur Conan",2852,5036,27
The Great Boer War,"Doyle, Arthur Conan",3069,5036,28
The Hound of the Baskervilles,"Doyle, Arthur Conan",3070,5036,29
The Valley of Fear,"Doyle, Arthur Conan",3289,5036,30
The Valley of Fear,"Doyle, Arthur Conan",3776,5036,31
Arsène Lupin,"Leblanc, Maurice",4014,10294,1
The Hollow Needle; Further adventures of Arsène Lupin,"Leblanc, Maurice",4017,10294,2
Songs of Action,"Doyle, Arthur Conan",4295,5036,32
Rodney Stone,"Doyle, Arthur Conan",5148,5036,33
"A Duet, with an Occasional Chorus","Doyle, Arthur Conan",5260,5036,34
The Ball and the Cross,"Chesterton, G. K. (Gilbert Keith)",5265,3258,13
Through the Magic Door,"Doyle, Arthur Conan",5317,5036,35
"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar","Leblanc, Maurice",6133,10294,3
The Eight Strokes of the Clock,"Leblanc, Maurice",7896,10294,4
The mystery of Cloomber,"Doyle, Arthur Conan",7964,5036,36
Tremendous Trifles,"Chesterton, G. K. (Gilbert Keith)",8092,3258,14
The doings of Raffles Haw,"Doyle, Arthur Conan",8394,5036,37
The Last Galley; Impressions and Tales,"Doyle, Arthur Conan",8727,5036,38
"Micah Clarke: His Statement as made to his three grandchildren Joseph, Gervas and Reuben During the Hard Winter of 1734","Doyle, Arthur Conan",9504,5036,39
Alarms and Discursions,"Chesterton, G. K. (Gilbert Keith)",9656,3258,15
A Visit to Three Fronts: June 1916,"Doyle, Arthur Conan",9874,5036,40
"The Green Flag, and Other Stories of War and Sport","Doyle, Arthur Conan",10446,5036,41
Uncle Bernac: A Memory of the Empire,"Doyle, Arthur Conan",10581,5036,42
The Exploits of Brigadier Gerard,"Doyle, Arthur Conan",11247,5036,43
The Refugees: A Tale of Two Continents,"Doyle, Arthur Conan",11413,5036,44
All Things Considered,"Chesterton, G. K. (Gilbert Keith)",11505,3258,16
The Crimes of England,"Chesterton, G. K. (Gilbert Keith)",11554,3258,17
The Barbarism of Berlin,"Chesterton, G. K. (Gilbert Keith)",11560,3258,18
The Appetite of Tyranny: Including Letters to an Old Garibaldian,"Chesterton, G. K. (Gilbert Keith)",11605,3258,19
The Great Shadow and Other Napoleonic Tales,"Doyle, Arthur Conan",11656,5036,45
The Wild Knight and Other Poems,"Chesterton, G. K. (Gilbert Keith)",12037,3258,20
The Defendant,"Chesterton, G. K. (Gilbert Keith)",12245,3258,21
Twelve Types,"Chesterton, G. K. (Gilbert Keith)",12491,3258,22
The Tragedy of the Korosko,"Doyle, Arthur Conan",12555,5036,46
The Teeth of the Tiger,"Leblanc, Maurice",13058,10294,5
The Firm of Girdlestone,"Doyle, Arthur Conan",13152,5036,47
Robert Browning,"Chesterton, G. K. (Gilbert Keith)",13342,3258,23
The New Jerusalem,"Chesterton, G. K. (Gilbert Keith)",13468,3258,24
Varied Types,"Chesterton, G. K. (Gilbert Keith)",14203,3258,25
Greybeards at Play: Literature and Art for Old Gentlemen,"Chesterton, G. K. (Gilbert Keith)",14706,3258,26
Orthodoxy,"Chesterton, G. K. (Gilbert Keith)",16769,3258,27
The Cabman's Story: The Mysteries of a London 'Growler',"Doyle, Arthur Conan",17398,5036,48
The Victorian Age in Literature,"Chesterton, G. K. (Gilbert Keith)",18639,3258,28
Magic: A Fantastic Comedy,"Chesterton, G. K. (Gilbert Keith)",19094,3258,29
George Bernard Shaw,"Chesterton, G. K. (Gilbert Keith)",19535,3258,30
The Napoleon of Notting Hill,"Chesterton, G. K. (Gilbert Keith)",20058,3258,31
A Short History of England,"Chesterton, G. K. (Gilbert Keith)",20897,3258,32
"A desert drama : $b being the tragedy of the ""Korosko""","Doyle, Arthur Conan",21768,5036,49
Songs Of The Road,"Doyle, Arthur Conan",21769,5036,50
Danger! and Other Stories,"Doyle, Arthur Conan",22357,5036,51
Appreciations and Criticisms of the Works of Charles Dickens,"Chesterton, G. K. (Gilbert Keith)",22362,3258,33
My friend the murderer,"Doyle, Arthur Conan",23059,5036,52
The Blonde Lady: Being a Record of the Duel of Wits between Arsène Lupin and the English Detective,"Leblanc, Maurice",24839,10294,6
"The War in South Africa, Its Cause and Conduct","Doyle, Arthur Conan",24951,5036,53
Eugenics and Other Evils,"Chesterton, G. K. (Gilbert Keith)",25308,3258,34
Lord Kitchener,"Chesterton, G. K. (Gilbert Keith)",25795,3258,35
The Last of the Legions and Other Tales of Long Ago,"Doyle, Arthur Conan",26153,5036,54
What I Saw in America,"Chesterton, G. K. (Gilbert Keith)",27250,3258,36
The Confessions of Arsène Lupin,"Leblanc, Maurice",28093,10294,7
The Frontier,"Leblanc, Maurice",28480,10294,8
Poems,"Chesterton, G. K. (Gilbert Keith)",31184,3258,37
"The Ballad of St. Barbara, and Other Verses","Chesterton, G. K. (Gilbert Keith)",32167,3258,38
The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen,"Doyle, Arthur Conan",32777,5036,55
The Tremendous Event,"Leblanc, Maurice",33386,10294,9
"The Dealings of Captain Sharkey, and Other Tales of Pirates","Doyle, Arthur Conan",34627,5036,56
The Three Eyes,"Leblanc, Maurice",34653,10294,10
813,"Leblanc, Maurice",34758,10294,11
The Golden Triangle: The Return of Arsène Lupin,"Leblanc, Maurice",34795,10294,12
"The Man from Archangel, and Other Tales of Adventure","Doyle, Arthur Conan",34797,5036,57
The Woman of Mystery,"Leblanc, Maurice",34931,10294,13
The Secret of Sarek,"Leblanc, Maurice",34939,10294,14
"Wine, Water, and Song","Chesterton, G. K. (Gilbert Keith)",35115,3258,39
The Crime of the Congo,"Doyle, Arthur Conan",37712,5036,59
"The Guards Came Through, and Other Poems","Doyle, Arthur Conan",38071,5036,60
The Croxley Master: A Great Tale Of The Prize Ring,"Doyle, Arthur Conan",38443,5036,61
The Wanderings of a Spiritualist,"Doyle, Arthur Conan",39718,5036,62
Arsène Lupin versus Herlock Sholmes,"Leblanc, Maurice",40203,10294,15
"The Gully of Bluemansdyke, and Other stories","Doyle, Arthur Conan",40848,5036,63
The German War,"Doyle, Arthur Conan",42127,5036,64
A Chesterton Calendar: Compiled from the writings of 'G.K.C.' both in verse and in prose. With a section apart for the moveable feasts.,"Chesterton, G. K. (Gilbert Keith)",45811,3258,40
The Coming of the Fairies,"Doyle, Arthur Conan",47506,5036,65
Adventures of Sherlock Holmes: Illustrated,"Doyle, Arthur Conan",48320,5036,66
Round the Fire Stories,"Doyle, Arthur Conan",54109,5036,67
Index of the Project Gutenberg Works of Gilbert K. Chesterton,"Chesterton, G. K. (Gilbert Keith)",58032,3258,41
Index of the Project Gutenberg Works of Arthur Conan Doyle,"Doyle, Arthur Conan",58574,5036,68
The Murder on the Links,"Christie, Agatha",58866,3304,2
The Secret Tomb,"Leblanc, Maurice",59072,10294,16
The Flying Inn,"Chesterton, G. K. (Gilbert Keith)",59239,3258,42
The Case for Spirit Photography: With corroborative evidence by experienced researchers and photographers,"Doyle, Arthur Conan",59809,5036,69
The Uses of Diversity: A book of essays,"Chesterton, G. K. (Gilbert Keith)",60057,3258,43
Fancies Versus Fads,"Chesterton, G. K. (Gilbert Keith)",60164,3258,44
The Man in the Brown Suit,"Christie, Agatha",61168,3304,3
Poirot Investigates,"Christie, Agatha",61262,3304,4
Irish Impressions,"Chesterton, G. K. (Gilbert Keith)",61758,3258,45
Charles Dickens,"Chesterton, G. K. (Gilbert Keith)",61760,3258,46
Tennyson,"Chesterton, G. K. (Gilbert Keith)",61764,3258,47
Leo Tolstoy,"Chesterton, G. K. (Gilbert Keith)",62045,3258,48
London,"Chesterton, G. K. (Gilbert Keith)",62048,3258,49
Thackeray,"Chesterton, G. K. (Gilbert Keith)",62086,3258,50
Divorce versus Democracy,"Chesterton, G. K. (Gilbert Keith)",62467,3258,51
The Superstition of Divorce,"Chesterton, G. K. (Gilbert Keith)",62680,3258,52
St. Francis of Assisi,"Chesterton, G. K. (Gilbert Keith)",63084,3258,53
G. F. Watts,"Chesterton, G. K. (Gilbert Keith)",64074,3258,54
"The British Campaign in France and Flanders, 1914","Doyle, Arthur Conan",65042,5036,70
"The British Campaign in France and Flanders, 1915","Doyle, Arthur Conan",65043,5036,71
"The British Campaign in France and Flanders, 1916","Doyle, Arthur Conan",65044,5036,72
"The British Campaign in France and Flanders, 1917","Doyle, Arthur Conan",65045,5036,73
"The British Campaign in France and Flanders—January to July, 1918","Doyle, Arthur Conan",65046,5036,74
"The British Campaign in France and Flanders—July to November, 1918","Doyle, Arthur Conan",65047,5036,75
The Secret of Chimneys,"Christie, Agatha",65238,3304,5
The Everlasting Man,"Chesterton, G. K. (Gilbert Keith)",65688,3258,55
Recollections of Captain Wilkie: A Story of an Old Offender,"Doyle, Arthur Conan",66088,5036,76
The Plymouth Express Affair,"Christie, Agatha",66446,3304,6
Memories and Adventures,"Doyle, Arthur Conan",66991,5036,77
The Curse of Eve,"Doyle, Arthur Conan",67072,5036,78
The Hunter's Lodge Case,"Christie, Agatha",67160,3304,7
The Missing Will,"Christie, Agatha",67173,3304,8
The Glamour of the Arctic,"Doyle, Arthur Conan",67515,5036,79
William Blake,"Chesterton, G. K. (Gilbert Keith)",67639,3258,56
Charles Dickens: A critical study,"Chesterton, G. K. (Gilbert Keith)",68682,3258,57
The land of mist,"Doyle, Arthur Conan",68903,5036,80
The murder of Roger Ackroyd,"Christie, Agatha",69087,3304,9
Tales of the Long Bow,"Chesterton, G. K. (Gilbert Keith)",69185,3258,58
"My friend the murderer, and other mysteries and adventures","Doyle, Arthur Conan",69260,5036,81
The case-book of Sherlock Holmes,"Doyle, Arthur Conan",69700,5036,82
The case of Oscar Slater,"Doyle, Arthur Conan",69704,5036,83
The Big Four,"Christie, Agatha",70114,3304,10
The secret of Father Brown,"Chesterton, G. K. (Gilbert Keith)",70175,3258,59
Memoirs of Arsène Lupin,"Leblanc, Maurice",70719,10294,17
Thomas Carlyle,"Chesterton, G. K. (Gilbert Keith)",71159,3258,60
The mystery of the Blue Train,"Christie, Agatha",72824,3304,11
The eyes of innocence,"Leblanc, Maurice",73662,10294,18
"Arsène Lupin, super-sleuth","Leblanc, Maurice",74269,10294,19
